release_id,artist_id,artist_name,album_name,release_date,release_category,edition_type,era,genre
rel_009350ea8157,art_0455f1610c4a,Anderson .Paak,Stare at Me,2025-06-27,,,,
rel_88dbae348f03,art_0455f1610c4a,Anderson .Paak,Summer Drop (feat. Anderson .Paak),2024-08-28,,,,
rel_b23fe7bb13c4,art_0455f1610c4a,Anderson .Paak,TAKE A CHANCE (feat. Anderson .Paak),2022-07-06,,,,
rel_c5af0848ae1c,art_0455f1610c4a,Anderson .Paak,The Scenic Route (with Rick Ross & Anderson .Paak),2022-02-04,,,,
rel_9c3675bc0b02,art_0455f1610c4a,Anderson .Paak,The Season / Carry Me,2015-11-08,,,,
rel_1e387bfd2ca4,art_0455f1610c4a,Anderson .Paak,Then There Were Two,2019-11-18,,,,
rel_87c705737f0b,art_0455f1610c4a,Anderson .Paak,Tints (feat. Kendrick Lamar),2018-10-04,,,,
rel_3e85b7b41857,art_0455f1610c4a,Anderson .Paak,TOO BAD – Alan Walker Remix,2025-12-20,,,,
rel_7554b76ea642,art_0455f1610c4a,Anderson .Paak,Too Fast (Pull Over) (with Anderson .Paak & Latto),2023-07-21,,,,
rel_4c9fce7e87b0,art_0455f1610c4a,Anderson .Paak,Twin Flame,2022-08-02,,,,
rel_35b89021ece1,art_0455f1610c4a,Anderson .Paak,Two Tens (feat. Anderson .Paak),2023-01-25,,,,
rel_bc57cb27ac35,art_0455f1610c4a,Anderson .Paak,Venice,2014-10-28,,,,
rel_6f8d2984d8c3,art_0455f1610c4a,Anderson .Paak,Ventura,2019-04-12,,,,
rel_09d6be6c1bbd,art_0455f1610c4a,Anderson .Paak,Ventura (Instrumentals),2019-04-12,,,,
rel_0c1f36e1b321,art_0455f1610c4a,Anderson .Paak,WalkOnBy (feat. Earl Sweatshirt & Rae Khalil),2024-06-11,,,,
rel_c1f6e6be4b89,art_0455f1610c4a,Anderson .Paak,Where I Go (feat. H.E.R.),2022-10-19,,,,
rel_80147e97c852,art_0455f1610c4a,Anderson .Paak,Who R U?,2018-11-09,,,,
rel_06343d860bb2,art_0455f1610c4a,Anderson .Paak,Why Lawd?,2024-06-14,,,,
rel_c6ac8653a944,art_0455f1610c4a,Anderson .Paak,Yes Lawd! Remixes,2017-11-17,,,,
rel_5a6d7c630fd5,art_0455f1610c4a,Anderson .Paak,YUUUU,2020-09-18,,,,
rel_b3fe39caefd8,art_ffe23fdbdb0e,Andre Foxxe,Bottom Jack: The Bass Project Volume Three,1995-10,original,standard,Comeback Era (1993–2004),"Funk, R&B, P-Funk"
rel_5b0b9001e9d8,art_ffe23fdbdb0e,Andre Foxxe,I'm Funk And I'm Proud,1993,original,standard,Comeback Era (1993–2004),"Funk, R&B, P-Funk"
rel_c79e0e9f7f0b,art_ffe23fdbdb0e,Andre Foxxe,Myllenium,2002,original,standard,Comeback Era (1993–2004),"Funk, R&B, P-Funk"
rel_e06b396f8d64,art_ffe23fdbdb0e,Andre Foxxe,The First 100,2024-11-01,,,,
rel_eda14118364d,art_ffe23fdbdb0e,Andre Foxxe,The Foxxe Files: A Dossier on Sex and Animals,2001-01-01,,,,
rel_16211702fba6,art_ffe23fdbdb0e,Andre Foxxe,The Psychedelic Ghetto Pimpz,2018-04-16,,,,
rel_3a05323edf3b,art_8ba799c46419,Andre Foxxe featuring Flea,Bottom Jack: The Bass Project Volume One,1995-08,original,standard,Comeback Era (1993–2004),"Funk, R&B, P-Funk"
rel_afb92c8d3d36,art_910dbdc3ddda,Andre Nickatina,2 Shots,2013-09-30,,,,
rel_d528d8c11e8a,art_910dbdc3ddda,Andre Nickatina,90 - 25 (Remix),2019-04-04,,,,
rel_21b15d8e635a,art_910dbdc3ddda,Andre Nickatina,A Tale Of Two Andres,2008-06-17,,,,
rel_e1070f70135c,art_910dbdc3ddda,Andre Nickatina,Andre Nickatina & Reign,2025-01-23,,,,
rel_34f15da58b8c,art_910dbdc3ddda,Andre Nickatina,Andre Nickatina: Reimagined By Symphony (Live And Studio Album),2024-10-11,,,,
rel_23c06160f4be,art_910dbdc3ddda,Andre Nickatina,Better One - Andre Nickatina & Zion I Remix,2019-10-25,,,,
rel_8361c91f8d50,art_910dbdc3ddda,Andre Nickatina,Booty Star- Glock Tawk,2007-09-18,,,,
rel_d58f06eae201,art_910dbdc3ddda,Andre Nickatina,Break Bread (feat. Richie Rich) - Single,2013-03-28,,,,
rel_e18d0a8dd0bb,art_910dbdc3ddda,Andre Nickatina,Bullet Symphony Horns And Halos #3,2006-12-12,,,,
rel_2f0844359a9b,art_910dbdc3ddda,Andre Nickatina,"Bullets, Blunts, N Ah Big Bank Roll",2004-06-06,,,,
rel_0db0d85d0a78,art_910dbdc3ddda,Andre Nickatina,Call The Dealer,2011-12-06,,,,
rel_2c56be6bd62f,art_910dbdc3ddda,Andre Nickatina,"Cocaine Inc (Cocaine Raps 1, 2, & 3)",2009-09-01,,,,
rel_afb251668134,art_910dbdc3ddda,Andre Nickatina,Conversation With A Devil,2003-04-22,,,,
rel_4181551c219e,art_910dbdc3ddda,Andre Nickatina,Cooking on a Come Up,2019-01-24,,,,
rel_d836221a9553,art_910dbdc3ddda,Andre Nickatina,Cupid Got Bullets 4 Me - EP,2014-05-27,,,,
rel_18592be0430f,art_910dbdc3ddda,Andre Nickatina,Daiquiri Factory Cocaine Raps Volume 2,2000-06-02,,,,
rel_9cb0c662f63d,art_910dbdc3ddda,Andre Nickatina,Drugz,2020-08-16,,,,
rel_eea994af1068,art_910dbdc3ddda,Andre Nickatina,Glazed,2019-01-24,,,,
rel_974950ea3d01,art_910dbdc3ddda,Andre Nickatina,Gun-Mouth 4 hire Horns and Halos #2,2005-11-15,,,,
rel_b0dadb7f6d59,art_910dbdc3ddda,Andre Nickatina,Hells Kitchen,2002-09-10,,,,
rel_27f2ee80f6a6,art_910dbdc3ddda,Andre Nickatina,Horns and Halos,2005-05-15,,,,
rel_f4f31d1a48e5,art_910dbdc3ddda,Andre Nickatina,I Hate You With A Passion,1995-04-19,,,,
rel_9c3e03856adf,art_910dbdc3ddda,Andre Nickatina,Jelly (feat. Problem) - Single,2012-06-19,,,,
rel_f3168c309307,art_910dbdc3ddda,Andre Nickatina,"Jelly 2.0 (feat. Problem, D-Lo & Mistah F.A.B.) - Single",2014-02-06,,,,
rel_323b0b1a0c0f,art_910dbdc3ddda,Andre Nickatina,KHAN! The Me Generation,2010-04-20,,,,
rel_f992022935fd,art_910dbdc3ddda,Andre Nickatina,Khanthology,2006-12-05,,,,
rel_892b6da2946e,art_910dbdc3ddda,Andre Nickatina,Lost World,2020-04-03,,,,
rel_0ae87bff7f9d,art_910dbdc3ddda,Andre Nickatina,Midnight Machine Gun Rhymes And Alibis,2002-03-19,,,,
rel_66753e418302,art_910dbdc3ddda,Andre Nickatina,My Middle Name is Crime,2010-12-14,,,,
rel_28c0ad6e9d9f,art_910dbdc3ddda,Andre Nickatina,Phat Ass,2017-04-28,,,,
rel_f06aee88ad38,art_910dbdc3ddda,Andre Nickatina,Pisces,2018-03-23,,,,
rel_5065e22a17b4,art_910dbdc3ddda,Andre Nickatina,Put That On The Gooch (feat. B-Legit),2025-01-17,,,,
rel_cafdffa06da7,art_910dbdc3ddda,Andre Nickatina,Raven Cocaine Raps Vol 1.,1999-06-23,,,,
rel_9d795b9432dc,art_910dbdc3ddda,Andre Nickatina,Say Jack (feat. The Jacka),2019-09-27,,,,
rel_7aecf2b1b2f3,art_910dbdc3ddda,Andre Nickatina,Scottie 15,2013-03-25,,,,
rel_4275600c72bf,art_910dbdc3ddda,Andre Nickatina,Still Gon Ball - Single,2011-06-21,,,,
rel_e984bc65c4ad,art_910dbdc3ddda,Andre Nickatina,Tears Of A Clown,1999-05-18,,,,
rel_49229e1a7bf9,art_910dbdc3ddda,Andre Nickatina,The Cost,2015-08-14,,,,
rel_9761ff806a04,art_910dbdc3ddda,Andre Nickatina,The King and Mr. Biscuits,2010-11-16,,,,
rel_79ec0b6b6c72,art_910dbdc3ddda,Andre Nickatina,The New Jim Jones,1993-06-17,,,,
rel_b2338c917277,art_910dbdc3ddda,Andre Nickatina,These R The Tales,2000-11-07,,,,
rel_255713d47e1c,art_910dbdc3ddda,Andre Nickatina,Ugly Money 2 - Love It and Count It,2010-09-07,,,,
rel_655a406e4f9d,art_910dbdc3ddda,Andre Nickatina,Unreleased,2001-09-20,,,,
rel_8317bc9292dd,art_d4bff5d6c55f,Aram Khachaturian,"""Adagietto"" - Soft and Relaxing Music",2025-12,,,,
rel_4a77786a99f5,art_d4bff5d6c55f,Aram Khachaturian,"""Classical Drive - Guess that Theme""",2025-09-06,,,,
rel_fdc44dba30da,art_d4bff5d6c55f,Aram Khachaturian,"""Die Moldau"" - Orchestral Masterworks",2025-05-04,,,,
rel_71c09f569018,art_d4bff5d6c55f,Aram Khachaturian,"""Prelude"" - Smooth Music to Relax",2025-10-30,,,,
rel_8fbec8ec612c,art_d4bff5d6c55f,Aram Khachaturian,"""Rêveries"" - The Refined Conductor",2026-02-28,,,,
rel_98032e3fec5b,art_d4bff5d6c55f,Aram Khachaturian,A Merry Feast with Music,2026-01-15,,,,
rel_58499131d85c,art_d4bff5d6c55f,Aram Khachaturian,A Musical Bestiary,2025-10,,,,
rel_d70d1a372e0a,art_d4bff5d6c55f,Aram Khachaturian,"A. Khachaturian: Violin Concerto - Prokofiev, K. Khachaturian & Szymanowski: Violin Sonatas (Remastered 2024)",2024-12-10,,,,
rel_12bf897cdf85,art_d4bff5d6c55f,Aram Khachaturian,Above the Mists - Echoes of the Mountain,2026-01-30,,,,
rel_06ba2736c9be,art_d4bff5d6c55f,Aram Khachaturian,An Introduction to Aram Il'yich Khachaturian,1987-08-01,,,,
rel_71ff4c854d26,art_d4bff5d6c55f,Aram Khachaturian,"Aram Khachaturian: An Armenian in Moscow (Vocalize, Sonata and other Piano Works II)",2024-09-20,,,,
rel_2c229602edc8,art_d4bff5d6c55f,Aram Khachaturian,Aram Khachaturian: Chamber Music,2019-12-06,,,,
rel_e9daa2c2217b,art_d4bff5d6c55f,Aram Khachaturian,Aram Khachaturian: La Viuda Valenciana & Masquerade,2018-07-24,,,,
rel_8809487ccf72,art_d4bff5d6c55f,Aram Khachaturian,Aram Khachaturian: Symphony No. 3 · Suite No. 3,2023-04-17,,,,
rel_c76a8b76891f,art_d4bff5d6c55f,Aram Khachaturian,"ARSM II, Vol. 37. Khachaturian",2017-09-21,,,,
rel_6988652d594e,art_d4bff5d6c55f,Aram Khachaturian,Battle of Stalingrad,2013-04-18,,,,
rel_89353d7439d1,art_d4bff5d6c55f,Aram Khachaturian,Celebration: Royal Music from Westminster Abbey (with Wedding Fanfare),2011-04-05,,,,
rel_0a32671348d1,art_d4bff5d6c55f,Aram Khachaturian,Contemplation,2025-05-15,,,,
rel_5bc579e2751e,art_d4bff5d6c55f,Aram Khachaturian,Deep Relax: A Classical Sanctuary,2026-01,,,,
rel_0b0257c87995,art_d4bff5d6c55f,Aram Khachaturian,"Famous Flute Concertos. Bach, Vivaldi, Mozart, Ibert, Jolivet, Khachaturian...",2025-11-01,,,,
rel_a5482d4ef73e,art_d4bff5d6c55f,Aram Khachaturian,Flute Concertos,2025-04-23,,,,
rel_fee939d62d2a,art_d4bff5d6c55f,Aram Khachaturian,James Galway Plays Khachaturian,1985,,,,
rel_6fe1c1a8b974,art_d4bff5d6c55f,Aram Khachaturian,"Khachaturian : Gayaneh, Masquerade & Spartacus [Excerpts] (Apex)",1994-01-01,,,,
rel_7bd620c942cd,art_d4bff5d6c55f,Aram Khachaturian,"Khachaturian Conducts Khachaturian, Vol. 3",2011-01-01,,,,
rel_f4313697b8d4,art_d4bff5d6c55f,Aram Khachaturian,"KHACHATURIAN, A.I.: Gayane Suites Nos. 1-3",1994-06-01,,,,
rel_6acc2baa37d1,art_d4bff5d6c55f,Aram Khachaturian,"Khachaturian, A.I.: Spartacus (Version by Y. Vamos)",2000-01-01,,,,
rel_235afb34b822,art_d4bff5d6c55f,Aram Khachaturian,"Khachaturian, A.I.: Spartacus, Suite No. 4 / Masquerade / Circus",1996-10-01,,,,
rel_e6ccb751f9e4,art_d4bff5d6c55f,Aram Khachaturian,"Khachaturian, A.I.: Violin Concerto / Concerto-Rhapsody for Violin and Orchestra",2009-05-26,,,,
rel_dde03e621d41,art_d4bff5d6c55f,Aram Khachaturian,Khachaturian: 7 Recitatives & Fugues & Children's Albums Nos. 1 & 2,2021-03-12,,,,
rel_fe52ac306c7c,art_d4bff5d6c55f,Aram Khachaturian,Khachaturian: Ballet Suites,2012-03-01,,,,
rel_479d8edad986,art_d4bff5d6c55f,Aram Khachaturian,Khachaturian: Cello Concerto in E Minor & Concerto-Rhapsody for Piano & Orchestra,2019-04-05,,,,
rel_4df3aed6584a,art_d4bff5d6c55f,Aram Khachaturian,"Khachaturian: Children's Album, Book 1",2024-06-14,,,,
rel_1f0d419ad3e9,art_d4bff5d6c55f,Aram Khachaturian,Khachaturian: Famous Ballet Suites: Spartacus – Gayaneh - Maskarade,2010-05-04,,,,
rel_9b0eeee2ef59,art_d4bff5d6c55f,Aram Khachaturian,Khachaturian: Gayaneh (Ballet Music); Tchaikovsky: Romeo and Juliet,1961,,,,
rel_80f347325b2f,art_d4bff5d6c55f,Aram Khachaturian,Khachaturian: Gayaneh Suite; Piano Concerto; The Valencian Widow Suite,2002-01-01,,,,
rel_0fe046328cc2,art_d4bff5d6c55f,Aram Khachaturian,Khachaturian: Masquerade & La viuda valenciana,2015-12-01,,,,
rel_f9ee9c35623f,art_d4bff5d6c55f,Aram Khachaturian,Khachaturian: Ode In Memory Of Lenin; Festive Poem; Greeting Overture; Lermontov Suite; Russian Fantasy,1995-01-01,,,,
rel_3b4c0181db22,art_d4bff5d6c55f,Aram Khachaturian,"Khachaturian: Ode of Joy, Music for Spartacus, Ode in Memory of Lenin",2003-01-01,,,,
rel_61a01970f7d3,art_d4bff5d6c55f,Aram Khachaturian,Khachaturian: Ode To Joy; 3 Concert Arias; Ballad Of The Motherland; Poem,2000-01-01,,,,
rel_e56d6848c5e5,art_d4bff5d6c55f,Aram Khachaturian,Khachaturian: Orchestral Suites from Spartacus and Gayane,2012-10-22,,,,
rel_6ac83f912ada,art_d4bff5d6c55f,Aram Khachaturian,Khachaturian: Othello Suite & The Battle of Stalingrad Suite,2014-07-01,,,,
rel_781399d65ec4,art_d4bff5d6c55f,Aram Khachaturian,Khachaturian: Piano Concerto,2025-01-31,,,,
rel_ad4699cc44bf,art_d4bff5d6c55f,Aram Khachaturian,"Khachaturian: Piano Concerto in D-Flat Major, Op. 38 (Remastered)",2018-08-24,,,,
rel_5ea5be44b447,art_d4bff5d6c55f,Aram Khachaturian,"Khachaturian: Piano Concerto, Masquerade Suite & Gayaneh",1987-08-01,,,,
rel_b128e50080e6,art_d4bff5d6c55f,Aram Khachaturian,"Khachaturian: Piano Concerto, Op. 38 & Symphony No. 3",2006-01-01,,,,
rel_288cfb969a6a,art_d4bff5d6c55f,Aram Khachaturian,Khachaturian: Piano Transcriptions,2024-07-12,,,,
rel_08dbe39c9142,art_d4bff5d6c55f,Aram Khachaturian,Khachaturian: Sabre Dance,1996-01-01,,,,
rel_32f9c6791213,art_d4bff5d6c55f,Aram Khachaturian,Khachaturian: Spartacus & Gayaneh,2010-11-01,,,,
rel_ab829c23122f,art_d4bff5d6c55f,Aram Khachaturian,Khachaturian: Spartacus (1968 Bolshoi version) (arr. Y. Grigorovich),2012-02-07,,,,
rel_36cef83d9f8b,art_d4bff5d6c55f,Aram Khachaturian,Khachaturian: Spartacus Ballet Suites Nos.1-3,1999-01-01,,,,
rel_246c28456647,art_d4bff5d6c55f,Aram Khachaturian,"Khachaturian: Suites & Dances - The Valencian Widow, Masquerade, Battle Of Stalingrad",2008-02-05,,,,
rel_017162fb293e,art_d4bff5d6c55f,Aram Khachaturian,Khachaturian: Symphony No. 1 in E Minor & Dance Suite,2024-08-08,,,,
rel_2bcd45815f09,art_d4bff5d6c55f,Aram Khachaturian,Khachaturian: Symphony No. 2 & 3 Concert Arias,2016-06-20,,,,
rel_88f1af549004,art_d4bff5d6c55f,Aram Khachaturian,Khachaturian: Symphony No. 2 - Gayane: Four Movements,1991-06-01,,,,
rel_20d226374b4c,art_d4bff5d6c55f,Aram Khachaturian,"Khachaturian: Symphony No. 2 in E Minor ""The Bell"" & Lermontov (Excerpts)",2016-05-06,,,,
rel_ff75a0ed7633,art_d4bff5d6c55f,Aram Khachaturian,Khachaturian: The Concertante Works for Piano,2022-09-02,,,,
rel_c37648cd7b5f,art_d4bff5d6c55f,Aram Khachaturian,Khachaturian: The Dancing Violin,2025-03-07,,,,
rel_2376e9a4a220,art_d4bff5d6c55f,Aram Khachaturian,Khachaturian: Violin Concerto & Concerto Rhapsody,2020-02-07,,,,
rel_c52d70660dca,art_d4bff5d6c55f,Aram Khachaturian,Khachaturian: Violin Sonata and Dances from Gayaneh & Spartacus,2014-04-01,,,,
rel_1cce5e729008,art_d4bff5d6c55f,Aram Khachaturian,Khatchaturian: Cello Concerto in E Minor & Violin Concerto in D Minor,2016-01-01,,,,
rel_e3c60b72eea7,art_d4bff5d6c55f,Aram Khachaturian,"Khatchaturian: Masquerade Ballet Music, Acts I-III",2009-01-01,,,,
rel_ee6ec9fbf1f2,art_d4bff5d6c55f,Aram Khachaturian,Khatchaturian: Piano Concerto in D-flat Major (Transferred from the Original Everest Records Master Tapes),2017-11-01,,,,
rel_80ccbc62d372,art_d4bff5d6c55f,Aram Khachaturian,L'atelier des pianistes (The Pianists' Workshop),2025-04-01,,,,
rel_e61b032a9782,art_d4bff5d6c55f,Aram Khachaturian,L'atelier des pianistes - J'apprends le piano,2025-11-21,,,,
rel_013fc8e67c4f,art_d4bff5d6c55f,Aram Khachaturian,Orchestral Music of Armenia,1998-01-01,,,,
rel_b11237cbe752,art_d4bff5d6c55f,Aram Khachaturian,"Philippe Entremont: Gershwin, Stravinsky, Bartók, Jolivet, Milhaud, Khachaturian Highlights from The Complete Piano Concerto Recordings",2025-04-08,,,,
rel_d95e83192c3c,art_d4bff5d6c55f,Aram Khachaturian,Russian Violin Concertos,2014-02-01,,,,
rel_ea69e031d699,art_d4bff5d6c55f,Aram Khachaturian,Scenes from Childhood,2024-12-26,,,,
rel_b9c069c0ccc0,art_d4bff5d6c55f,Aram Khachaturian,Scheidt / Beethoven / Debussy / Speer / Joplin / Khatchaturian,1990-01-01,,,,
rel_b5fd10dca887,art_d4bff5d6c55f,Aram Khachaturian,"Schön Rösmarin - Kreisler, Mozart, Tchaikovsky, Beethoven, Paganini, John Williams",2025-03-17,,,,
rel_2458ebd07213,art_d4bff5d6c55f,Aram Khachaturian,Spartacus/ Gayaneh - Ballet Suites,1986-03-31,,,,
rel_83b6d504b8d3,art_d4bff5d6c55f,Aram Khachaturian,Sweet Lullabies - Classical Music to Gently Fall to Sleep,2025-12,,,,
rel_c53c8b483c1a,art_d4bff5d6c55f,Aram Khachaturian,The Flute Master,2024-11-03,,,,
rel_a2b0f11da708,art_d4bff5d6c55f,Aram Khachaturian,The Pianists' Workshop,2025-09-22,,,,
rel_db090fed3b8d,art_d4bff5d6c55f,Aram Khachaturian,"Transcriptions, paraphrases et improvisations",2022-04-29,,,,
rel_9e429cc00791,art_d4bff5d6c55f,Aram Khachaturian,Ultimate Classics,2026-02-28,,,,
rel_7daa6fd7b1d3,art_d4bff5d6c55f,Aram Khachaturian,Violin Miniatures,2024-11-03,,,,
rel_5251eb68e7e9,art_d4bff5d6c55f,Aram Khachaturian,Winter Adagios,2026-01-20,,,,
rel_a7e1d02d8ee7,art_d4bff5d6c55f,Aram Khachaturian,Zzz - Classical Dream. Music for Deep Sleep,2025-04-10,,,,
rel_68f3c790dbe2,art_33feb546b198,Artists United Against Apartheid,Let Me See Your I.D.,1985-12-07,,,,
rel_560dde8d88cb,art_33feb546b198,Artists United Against Apartheid,Sun City,1985-12-07,original,standard,Transition Era (1982–1992),"Funk, R&B, P-Funk"
